District,Mean,Median,Std,Min,Max,CV,Growth_Rate
Colombo,102737.77,108358.5,67410.44747713649,0,215194,0.6561408474910102,-46.680571346821374
Gampaha,90650.98,95610.5,59479.799499023546,0,189877,0.6561407223509723,-46.68043418896778
Galle,87491.7,87369.0,62053.9473222512,0,206586,0.7092552473234741,-57.788479638576895
Kandy,85416.1,89517.5,56809.08657267975,0,180363,0.6650864014240845,-46.68107642787634
Matale,66477.35,70114.0,43618.51619597907,0,139243,0.6561410193995258,-46.680630709256995
Nuwara Eliya,62851.35,66289.5,41239.37140777713,0,131648,0.6561413781530091,-46.68053367467507
Badulla,61227.38,60644.5,43141.070604525405,0,143395,0.7046042245238227,-57.073606183190584
Kalutara,60434.01,63740.5,39653.22416878225,0,126584,0.6561408744642669,-46.6815150467852
Matara,58016.61,61191.0,38067.04148700863,0,121521,0.6561403964659195,-46.68124483319555
Anuradhapura,50764.55,53542.0,33308.65304882153,0,106331,0.6561400238714128,-46.6802797799552
Hambantota,42303.76,44618.0,27757.249246998515,0,88609,0.6561414221099617,-46.681051823135725
Polonnaruwa,36260.37,38244.0,23791.901094490117,0,75951,0.6561406045909105,-46.68046251653369
