month,sentiment_score,positive_count,review_count,negative_count,neutral_count,sentiment_score_normalized
2015-01,0.7339449541284404,89,109,9,11,86.69724770642202
2015-02,0.7096774193548387,73,93,7,13,85.48387096774194
2015-03,0.6923076923076923,48,65,3,14,84.61538461538461
2015-04,0.7323943661971831,56,71,4,11,86.61971830985915
2015-05,0.5660377358490566,34,53,4,15,78.30188679245282
2015-06,0.62,36,50,5,9,81.0
2015-07,0.6629213483146067,67,89,8,14,83.14606741573034
2015-08,0.6548672566371682,85,113,11,17,82.74336283185842
2015-09,0.7563025210084033,96,119,6,17,87.81512605042016
2015-10,0.6144578313253012,56,83,5,22,80.72289156626506
2015-11,0.7419354838709677,75,93,6,12,87.09677419354838
2015-12,0.6217948717948718,110,156,13,33,81.08974358974359
2016-01,0.7692307692307693,150,182,10,22,88.46153846153845
2016-02,0.7230769230769231,148,195,7,40,86.15384615384616
2016-03,0.6815642458100558,132,179,10,37,84.07821229050279
2016-04,0.6884057971014492,102,138,7,29,84.42028985507247
2016-05,0.6666666666666666,54,72,6,12,83.33333333333333
2016-06,0.717391304347826,70,92,4,18,85.86956521739131
2016-07,0.7112299465240641,145,187,12,30,85.56149732620321
2016-08,0.7449392712550608,200,247,16,31,87.24696356275304
2016-09,0.7085714285714285,138,175,14,23,85.42857142857143
2016-10,0.7432432432432432,117,148,7,24,87.16216216216216
2016-11,0.7664233576642335,112,137,7,18,88.32116788321167
2016-12,0.740072202166065,215,277,10,52,87.00361010830323
2017-01,0.8062283737024222,245,289,12,32,90.31141868512111
2017-02,0.76,221,275,12,42,88.0
2017-03,0.8116591928251121,193,223,12,18,90.5829596412556
2017-04,0.7807017543859649,190,228,12,26,89.03508771929825
2017-05,0.7714285714285715,111,140,3,26,88.57142857142857
2017-06,0.6985294117647058,106,136,11,19,84.92647058823529
2017-07,0.6923076923076923,131,169,14,24,84.61538461538461
2017-08,0.7269076305220884,197,249,16,36,86.34538152610443
2017-09,0.788659793814433,161,194,8,25,89.43298969072164
2017-10,0.7379310344827587,115,145,8,22,86.89655172413792
2017-11,0.7253521126760564,112,142,9,21,86.26760563380283
2017-12,0.6612244897959184,178,245,16,51,83.06122448979592
2018-01,0.7492877492877493,285,351,22,44,87.46438746438747
2018-02,0.7707736389684814,287,349,18,44,88.53868194842407
2018-03,0.7094594594594594,231,296,21,44,85.47297297297297
2018-04,0.7157190635451505,238,299,24,37,85.78595317725753
2018-05,0.7788461538461539,173,208,11,24,88.9423076923077
2018-06,0.7351351351351352,152,185,16,17,86.75675675675676
2018-07,0.6938775510204082,272,343,34,37,84.6938775510204
2018-08,0.601010101010101,286,396,48,62,80.05050505050505
2018-09,0.6786786786786787,261,333,35,37,83.93393393393393
2018-10,0.7231270358306189,245,307,23,39,86.15635179153094
2018-11,0.7186440677966102,232,295,20,43,85.9322033898305
2018-12,0.7274509803921568,408,510,37,65,86.37254901960785
2019-01,0.7075471698113207,503,636,53,80,85.37735849056604
2019-02,0.7484076433121019,505,628,35,88,87.42038216560509
2019-03,0.7592295345104334,515,623,42,66,87.96147672552166
2019-04,0.7327823691460055,294,363,28,41,86.63911845730028
2019-05,0.8260869565217391,60,69,3,6,91.30434782608697
2019-06,0.6631578947368421,74,95,11,10,83.1578947368421
2019-07,0.7752808988764045,149,178,11,18,88.76404494382022
2019-08,0.7206477732793523,202,247,24,21,86.03238866396761
2019-09,0.700507614213198,159,197,21,17,85.0253807106599
2019-10,0.8304347826086956,199,230,8,23,91.52173913043478
2019-11,0.7807017543859649,191,228,13,24,89.03508771929825
2019-12,0.7844611528822055,331,399,18,50,89.22305764411027
2020-01,0.7652859960552268,427,507,39,41,88.26429980276134
2020-02,0.7613365155131265,342,419,23,54,88.06682577565633
2020-03,0.7247191011235955,142,178,13,23,86.23595505617978
2020-04,1.0,4,4,0,0,100.0
2020-05,1.0,2,2,0,0,100.0
2020-06,1.0,4,4,0,0,100.0
2020-07,0.8333333333333334,5,6,0,1,91.66666666666667
2020-08,0.5,4,6,1,1,75.0
2020-09,1.0,4,4,0,0,100.0
2020-10,1.0,1,1,0,0,100.0
2020-11,0.75,3,4,0,1,87.5
2020-12,1.0,1,1,0,0,100.0
2021-01,0.0,1,2,1,0,50.0
2021-02,0.0,1,2,1,0,50.0
2021-03,0.5,3,4,1,0,75.0
2021-04,1.0,7,7,0,0,100.0
2021-05,1.0,2,2,0,0,100.0
2021-07,1.0,1,1,0,0,100.0
2021-08,1.0,2,2,0,0,100.0
2021-09,1.0,4,4,0,0,100.0
2021-10,0.7,8,10,1,1,85.0
2021-11,0.6,29,40,5,6,80.0
2021-12,0.625,36,48,6,6,81.25
2022-01,0.6417910447761194,49,67,6,12,82.08955223880596
2022-02,0.7678571428571429,48,56,5,3,88.39285714285714
2022-03,0.7638888888888888,61,72,6,5,88.19444444444444
2022-04,0.4864864864864865,25,37,7,5,74.32432432432432
2022-05,0.6666666666666666,7,9,1,1,83.33333333333333
2022-06,1.0,4,4,0,0,100.0
2022-07,0.7142857142857143,12,14,2,0,85.71428571428572
2022-08,1.0,19,19,0,0,100.0
2022-09,0.8461538461538461,11,13,0,2,92.3076923076923
2022-10,0.7272727272727273,9,11,1,1,86.36363636363636
2022-11,0.7777777777777778,8,9,1,0,88.88888888888889
2022-12,0.6451612903225806,23,31,3,5,82.25806451612902
2023-01,0.8571428571428571,19,21,1,1,92.85714285714286
2023-02,0.5333333333333333,31,45,7,7,76.66666666666666
2023-03,0.75,27,32,3,2,87.5
2023-04,0.8055555555555556,31,36,2,3,90.27777777777779
2023-05,0.0,1,3,1,1,50.0
